BFS,SHAPE.AREA,SHAPE.LEN
247,922907.85801506,4986.02691369715
248,22943.31397256,831.477599540774
261,307.9559845,88.1514526691934
261,3532.812392185,409.57677727699
261,40800.721484,1776.70453393555
245,17701.163666945,1617.02768267309
261,10218.888675395,564.44228208859
261,2349.44668,307.149812787146
261,5917.2013195,370.334449646931
261,7560.4000745,937.687128146573
261,57636.4867044,1184.76439344039
261,319049.406241735,3127.93359971399
261,1454.168313,161.346122106855
261,3422.8947345,269.454929975307
261,75357.52911876,1282.49163215484
261,2778.509650495,215.454676570489
261,1473.843008,249.733811677918
261,1206.5310395,184.479178230085
261,2407.16761048,293.742024793805
261,863568.971256085,5676.19723801658
69,3536.93791713,317.566187010675
261,21517.2423575,611.980951704324
261,712.0921245,155.117816376422
193,22143.43391718,735.376134331943
261,130801.767470635,1655.85191261011
261,2047.90510948,553.968436843477
261,4379.960723,358.856757407901
131,1349542.75076556,21175.4563050327
261,5601.3616057,415.877067826677
261,2802.5163175,385.343401973432
261,23299.109507,963.169601831524
261,1112.4819035,288.507930995439
261,1808.7992545,187.893053670692
97,68551.391295605,1175.49921773211
97,4745.9400305,460.265114244147
161,7548.0617345,633.075956074492
261,3417.75291863,249.887908329221
261,39210.342943,992.249894506076
261,12229.1599135,593.603122937437
261,30234.3843305,852.755008178099
13,3079740.84185327,48854.4009914551
248,189824.068645985,3924.53555336969
261,4365.131801275,625.717585163203
261,1180.0111255,226.785800440618
261,140956.774027095,2880.46643969865
261,109111.60550401,4700.82032674854
261,9975.808220125,504.200139188751
245,143028.486294,2445.59926780719
261,16403.315026255,773.841850964213
261,4847.78981101,826.410100421837
261,213645.669538735,2367.92153392384
261,3409.834925085,418.417769614811
96,2170.6211515,303.228712956904
261,578.371013,107.631313134203
261,7723.7930185,330.67238661312
261,669.2718415,124.386970860851
261,2019.443213,432.746913448323
261,1422.467494025,157.319521059326
261,2651.2060745,469.422554673236
261,26061.970786915,1425.62769462515
261,7881.423833,636.130683471381
261,3320.1135745,300.477211050471
261,380.828046325,107.368918548944
261,13137.64489982,708.804053508254
261,510053.26081358,5555.71121899178
261,2155.2782945,424.331831211971
261,452.872132695,102.439835650063
161,17160.49223886,763.849817354992
248,125960.7938185,3248.07590532697
